folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d
24,4519852,24-139773,10,Michael W Moll (Michael  Moll),Civic Legal LLP,Issued,2023-12-14T17:47:13+00:00,2024-12-31,Legal Services,,710,Unit,900,W HASTINGS ST,Vancouver,BC,CA,V6C 1E5,Downtown,10.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.116505426654, 49.2866095490545], 'type': 'Point'}, 'properties': {}}","{'lon': -123.116505426654, 'lat': 49.2866095490545}"
24,4519861,24-139784,10,Wardrobe Apparel Inc,,Issued,2023-11-20T19:53:35+00:00,2024-12-31,Brokerage Services,,258,Unit,1951,GLEN DRIVE,Vancouver,BC,CA,V5T 4R1,Strathcona,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.082533868649, 49.2673575932868], 'type': 'Point'}, 'properties': {}}","{'lon': -123.082533868649, 'lat': 49.2673575932868}"
24,4519862,24-139785,02,DATAMETREX AI LIMITED,,Pending,,,Business Support Services,,,,2990,ARBUTUS ST,Vancouver,BC,CA,V6J 3Y9,Kitsilano,7.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.152771028742, 49.2593489713589], 'type': 'Point'}, 'properties': {}}","{'lon': -123.152771028742, 'lat': 49.2593489713589}"
24,4519863,24-139786,10,Jared W Enns (Jared Enns),Cassels Brock & Blackwell LLP,Issued,2023-11-21T19:45:58+00:00,2024-12-31,Legal Services,,2200,Unit,885,W GEORGIA ST,Vancouver,BC,CA,V6C 3E8,Downtown,1.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119650025722, 49.2836841369494], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119650025722, 'lat': 49.2836841369494}"
24,4519871,24-139800,10,Introverted Financial Inc,Introverted Services,Issued,2024-03-02T22:41:29+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Kensington-Cedar Cottage,1.0,,2025-11-01T09:31:04+00:00,,
24,4519872,24-139802,10,(Denys Rudchenko),Cafe Venezia,Issued,2023-12-25T22:57:57+00:00,2024-12-31,Brokerage Services,,,,,,Vancouver,BC,CA,,Downtown,1.0,,2025-11-01T09:31:04+00:00,,
24,4519877,24-139808,10,(Yumi Takeshita),VVVY Enterprises,Issued,2023-12-27T05:30:34+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Mount Pleasant,0.0,,2025-11-01T09:31:04+00:00,,
24,4519882,24-139815,10,RS Strategies Inc,,Issued,2024-03-27T03:27:47+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Kitsilano,1.0,,2025-11-01T09:31:04+00:00,,
24,4519884,24-139818,10,Onepointsix Projects Ltd,Minimal Onepointsix Studio,Issued,2023-11-23T03:17:24+00:00,2024-12-31,Design Services,,,,1602,W 1ST AV,Vancouver,BC,CA,V6J 1G1,Fairview,2.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.141374166201, 49.2703365504893], 'type': 'Point'}, 'properties': {}}","{'lon': -123.141374166201, 'lat': 49.2703365504893}"
24,4519889,24-139825,10,Cooperwilliams Truman LLP,,Issued,2023-11-20T16:56:49+00:00,2024-12-31,Legal Services,,1860,Unit,777,HORNBY ST,Vancouver,BC,CA,V6Z 1S4,Downtown,6.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.121421490049, 49.2832466257592], 'type': 'Point'}, 'properties': {}}","{'lon': -123.121421490049, 'lat': 49.2832466257592}"
24,4519890,24-139826,10,Tradeglobe Consulting Ltd,,Issued,2023-11-30T17:28:44+00:00,2024-12-31,Real Estate Services,,801,Unit,107,E 3RD AV,Vancouver,BC,CA,V5T 1C7,Mount Pleasant,3.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.102508738718, 49.2685067824924], 'type': 'Point'}, 'properties': {}}","{'lon': -123.102508738718, 'lat': 49.2685067824924}"
24,4519897,24-139836,10,IR Labs Inc,irlabs,Issued,2023-11-20T19:58:42+00:00,2024-12-31,Business Support Services,,400,Unit,22,E 5TH AV,Vancouver,BC,CA,V5T 1G8,Mount Pleasant,17.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.104305356489, 49.2662134404944], 'type': 'Point'}, 'properties': {}}","{'lon': -123.104305356489, 'lat': 49.2662134404944}"
24,4519900,24-139840,11,Criteria Management Ltd,,Inactive,2024-02-01T19:23:15+00:00,2024-12-31,Real Estate Services,,1500,Unit,701,W GEORGIA ST,Vancouver,BC,CA,V7Y 1C6,Downtown,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.117751286267, 49.2834005265727], 'type': 'Point'}, 'properties': {}}","{'lon': -123.117751286267, 'lat': 49.2834005265727}"
24,4519902,24-139842,10,Aeroking Trading Corp,,Issued,2023-12-29T04:04:48+00:00,2024-12-31,Business Support Services,,400,Unit,601,W BROADWAY,Vancouver,BC,CA,V5Z 4C2,Fairview,2.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.118596122757, 49.2635657969344], 'type': 'Point'}, 'properties': {}}","{'lon': -123.118596122757, 'lat': 49.2635657969344}"
24,4519903,24-139843,10,ONBOX Creative Inc,,Issued,2023-11-20T17:52:28+00:00,2024-12-31,Design Services,,204,Unit,1168,HAMILTON ST,Vancouver,BC,CA,V6B 2S2,Downtown,6.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.121996984635, 49.2750076198637], 'type': 'Point'}, 'properties': {}}","{'lon': -123.121996984635, 'lat': 49.2750076198637}"
24,4519906,24-139846,10,Jylelle Carpenter-Boesch & Tiffany Valeska,Equitas Law Group,Issued,2023-12-29T20:25:13+00:00,2024-12-31,Legal Services,,,,516,RICHARDS ST,Vancouver,BC,CA,V6B 3A2,Downtown,17.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.113254803434, 49.2827880689905], 'type': 'Point'}, 'properties': {}}","{'lon': -123.113254803434, 'lat': 49.2827880689905}"
24,4519907,24-139847,10,Vega MFG. Ltd,,Issued,2023-12-20T19:24:18+00:00,2024-12-31,Business Support Services,,,,,,Vancouver,BC,CA,,Marpole,0.0,,2025-11-01T09:31:04+00:00,,
24,4519917,24-139861,10,Palladis Admissions Consulting,,Inactive,2024-05-04T15:43:56+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Renfrew-Collingwood,1.0,,2025-11-01T09:31:04+00:00,,
24,4519921,24-139869,10,VDZ+A Consulting Inc,van der Zalm + associates,Issued,2023-11-20T17:30:36+00:00,2024-12-31,Business Support Services,,,,355,KINGSWAY,Vancouver,BC,CA,V5T 3J7,Mount Pleasant,17.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.096796424886, 49.2607391512863], 'type': 'Point'}, 'properties': {}}","{'lon': -123.096796424886, 'lat': 49.2607391512863}"
24,4519924,24-139874,10,Amazon Web Services Canada Inc,,Issued,2023-12-10T14:51:35+00:00,2024-12-31,Business Support Services,,,,402,DUNSMUIR ST,Vancouver,BC,CA,V6B 1X4,Downtown,5.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.114675044765, 49.2812916157877], 'type': 'Point'}, 'properties': {}}","{'lon': -123.114675044765, 'lat': 49.2812916157877}"
24,4519925,24-139875,10,Infinite Power Canada Inc,,Issued,2023-12-31T21:16:01+00:00,2024-12-31,Retail Dealer,,,,5838,KERR ST,Vancouver,BC,CA,V5R 4C1,Killarney,0.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.039854442576, 49.2306734470092], 'type': 'Point'}, 'properties': {}}","{'lon': -123.039854442576, 'lat': 49.2306734470092}"
24,4519926,24-139876,11,Public Grounds Landscape Architecture Inc,,Inactive,2024-05-04T15:43:56+00:00,2024-12-31,Consulting and Management Services,,,,,,Vancouver,BC,CA,,Fairview,1.0,,2025-11-01T09:31:04+00:00,,
24,4519930,24-139881,10,Chard Property Group Ltd,,Issued,2024-02-13T21:23:15+00:00,2024-12-31,Real Estate Services,,1400,Unit,510,BURRARD ST,Vancouver,BC,CA,V6C 3A8,Downtown,4.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.11758014442, 49.2860516234368], 'type': 'Point'}, 'properties': {}}","{'lon': -123.11758014442, 'lat': 49.2860516234368}"
24,4519940,24-139894,10,Yuen Yu Lau (Yuen Lau),Yin Executive Services,Issued,2023-11-19T03:34:45+00:00,2024-12-31,Business Support Services,,,,,,Vancouver,BC,CA,,Dunbar-Southlands,1.0,,2025-11-01T09:31:04+00:00,,
24,4519945,24-139900,10,Erica C Miller (Erica  Miller),Farris LLP,Issued,2024-01-04T18:01:52+00:00,2024-12-31,Legal Services,,2500,Unit,700,W GEORGIA ST,Vancouver,BC,CA,V7Y 1K8,Downtown,0.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.119500778402, 49.2822434350563], 'type': 'Point'}, 'properties': {}}","{'lon': -123.119500778402, 'lat': 49.2822434350563}"
24,4519947,24-139902,10,Mahshiko Food Ltd,,Issued,2023-11-24T19:52:02+00:00,2024-12-31,Street Vendor,,,,1205,E HASTINGS ST,Vancouver,BC,CA,V6A 1S4,Strathcona,2.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.078844721246, 49.2816386991242], 'type': 'Point'}, 'properties': {}}","{'lon': -123.078844721246, 'lat': 49.2816386991242}"
24,4519952,24-139907,10,Danielle K Lewchuk (Danielle Lewchuk),Borden Ladner Gervais LLP,Issued,2024-01-08T19:11:41+00:00,2024-12-31,Legal Services,,,,200,BURRARD ST,Vancouver,BC,CA,V6C 3L6,Downtown,0.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.115170326863, 49.2876781463009], 'type': 'Point'}, 'properties': {}}","{'lon': -123.115170326863, 'lat': 49.2876781463009}"
24,4519954,24-139909,10,Drucker Prosperity Management Consulting Ltd,DruckerPro International,Issued,2024-05-07T18:01:09+00:00,2024-12-31,Consulting and Management Services,,1300,Unit,1500,W GEORGIA ST,Vancouver,BC,CA,V6G 2Z6,West End,2.0,292.0,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.130300416539, 49.2899484858578], 'type': 'Point'}, 'properties': {}}","{'lon': -123.130300416539, 'lat': 49.2899484858578}"
24,4519958,24-139913,10,Rethink Communications Limited Partnership,,Issued,2023-12-06T20:13:37+00:00,2024-12-31,Marketing Public Relations Advertising and Event Promotion Services,,617+700,Unit,470,GRANVILLE ST,Vancouver,BC,CA,V6C 1V5,Downtown,127.0,,2025-11-01T09:31:04+00:00,"{'type': 'Feature', 'geometry': {'coordinates': [-123.114441013341, 49.2847316480809], 'type': 'Point'}, 'properties': {}}","{'lon': -123.114441013341, 'lat': 49.2847316480809}"
24,4519959,24-139914,10,(Jordan Eaton),BOSS Assistants,Pending,,,Business Support Services,,,,,,Vancouver,BC,CA,,Kensington-Cedar Cottage,3.0,,2025-11-01T09:31:04+00:00,,
